id,ref,product,rating,helpPos,helpAll,date,userId,infoTitle,infoText
"0","XX","B0012K4XJQ","2.0","0","0","3. September 2014","AVB2DS0CZRKM3","Leicht aber leider nicht besonders robust und w&auml;rmend","Aufgrund der relativ guten Bewertungen habe ich mich f&uuml;r den Kauf dieses Schlafsackes entschieden. Mir ging es vor allem um ein kleines Packma&szlig;, ein leichtes Gewicht und eine angemessene K&ouml;rpertemperatur beim n&auml;chtlichen Campen im Monat August.Die ersten beiden Punkte wurden erf&uuml;llt - der Schlafsack hat ein geringes Gewicht und l&auml;sst sich aufgrund des kleinen Packma&szlig;es sehr gut im / am Rucksack verstauen. Leider war jedoch schon nach der ersten Nacht der Rei&szlig;verschluss kaputt - und mein Sohn, der sich w&auml;hrend einer Schulfahrt die Nacht &uuml;ber im Schlafsack einen abklapperte. Und das bei garantiert noch &uuml;ber -2 Grad C!Alles in Allem f&uuml;r uns ein Reinfall, da n&uuml;tzt auch geringes Gewicht und kleines Packma&szlig; nichts. Schade!"
"1","XX","B0012K4XJQ","5.0","0","0","23. August 2014","A1E4INLPWBFYY9","Besser als erwartet","Ich brauchte unbedingt einen Schlafsack, der nicht so gro&szlig; und sperrig ist und der nicht zu schwer ist.Ich habe ihn zuhause direkt ausprobiert und war &uuml;berrascht, wie d&uuml;nn er ist. Beim reinlegen habe ich aber gemerkt, dass er trotzdem relativ gut warm h&auml;lt und auch sonst sehr gem&uuml;tlich ist. Der Rei&szlig;verschluss machte keine Probleme, er lie&szlig; sich sehr leicht bedienen.Meine gr&ouml;&szlig;te Angst bei Schlafs&auml;cken ist immer, dass ich ihn nicht mehr in die H&uuml;lle kriege, aber auch das war bei diesem Schlafsack &uuml;berhaupt kein Problem!!Wie er sich letztendlich in der Wildnis (in meinem Fall Malawi) verh&auml;lt, kann ich zurzeit noch nicht sagen, ich bin aber optimistisch."
"2","XX","B0012K4XJQ","4.0","0","0","13. August 2014","A3D1BBEFH9A42N","Wirklich nur f&uuml;r warme Gefilde","Vorab: Die Qualit&auml;t des Schlafsacks kann sich sehen lassen. F&uuml;r den Preis ist er wirklich prima.Sehr warm finde ich ihn aber nicht. Er hat auf Korsika und in Italien gute Dienste geleistet, doch in der Zentralschweiz war es nachts schon etwas k&uuml;hler (13°) und ich habe ziemlich gefroren.Aber einen Minischlafsack zu diesem Preis, der auch noch richtig gut die W&auml;rme h&auml;lt, gibt es wohl nicht. Deswegen 4 Sterne."
"3","XX","B0012K4XJQ","4.0","0","0","10. August 2014","A2JQBBM5KCQV5","Guter Schlafssack aber nicht f&uuml;r gro&szlig;e Menschen","Der Schlafsack ist nur f&uuml;r den Sommer geeignet hierf&uuml;r aber sehr angenehm.War eine Woche damit in Kroatien, da war er super von der Temperatur. Auf einem Festival in Deutschland (Ende Juli) war er schon etwas k&uuml;hl in der Nacht aber wenn man sich was anzieht gehts.Vorsicht ! Schlafsack ist eher eng !Ich bin ca 180cm gro&szlig; und wiege &uuml;ber 80 kg bei sportlicher Figur.F&uuml;r mich ist es unm&ouml;glich den Schlafsack bis oben hin zuzumachen. (letzte Drittel bleibt offen)"
"4","XX","B0012K4XJQ","1.0","0","0","23. Juli 2014","A3E5V0H7MJSO1U","Nicht warm , das ist nur ein Sommer Schlafsack !","Viel zu d&uuml;nn! Schon nach kurzer zeit ist der Rei&szlig;verschluss kaputt gegangen und die Naht ist gerissen und im Herbst nicht mehr warm genug!"
"5","XX","B0012K4XJQ","3.0","0","0","11. Juli 2014","A99L96RI2FE87","Anbieter","Durchgehend wechselnde Anbieter. Anf&auml;nglich wurde einer bestellt, da riss sofort ein Spannband am Kompressionssack. R&uuml;ckgabe ging ohne Probleme. Wochen sp&auml;ter wurde ein weiterer bestellt, dieser war nicht lieferbar, also schickten sie mir eine alternative zu(hab aber lange warten m&uuml;ssen) Ich habe einen 800er(ohne kompressionssack) statt 600er erhalten, welcher ja doch ein deutlich gr&ouml;&szlig;eres PAckma&szlig; hat. Daraufhin habe ich mir einen kleinen, gr&uuml;nen Kompressionssack gekauft, der das Packma&szlig; nochmals um ca. 50% verkleinert.Naja hatte ihn noch nicht in verwendung, mal sehen ob er die 2,5 Monate Nord-Amerika durchh&auml;lt - ich habe Zweifel...Der Preis kommt ja nicht von ungef&auml;hr"
"6","XX","B0012K4XJQ","4.0","0","0","9. Juli 2014","ANT9RHNI1W8VE","Klein Warm und passt Problemlos in seinen Beutel","Hallo,wie oben schon erw&auml;hnt. Der Schlafsack ist absolut handlich und f&uuml;r  Zelten bei Plustemperaturen geeignet.Unter Null denke ich wird es etwas frisch darin.Sehr positiv ist das der Mitgelieferte Beutel gro&szlig; genug ist um den Schlafsack selbst wieder dort hereinzubringen!"
"7","XX","B0012K4XJQ","3.0","0","0","27. Juni 2014","ADHKNARIP2QZT","Ganz ok","Leicht klein und eben ein Sommerschlafsack.Richtige Bew&auml;hrungsproben hatte ich noch nicht. Aber ich denke bei Temperaturen unter 7-8 Grad wird es ungem&uuml;tlich. Aber das Preis - Leistungsverh&auml;ltniss stimmt denke ich."
"8","XX","B0012K4XJQ","5.0","0","0","25. Juni 2014","ASM1U9ZYAGKGX","super Schlafsack","Super Schlafsack. Man f&uuml;hlt sich beim Schlafen einfach nur sehr wohl. Er ist auch sehr leicht und strapazierf&auml;hig. Kann man nur empfehlen."
"9","XX","B0012K4XJQ","1.0","0","0","22. Juni 2014","A30IAJAWA1IL5F","Nichts f&uuml;r kalte N&auml;chte!!","Habe mir den Schlafsack f&uuml;rs Zelten auf Sylt gekauft und bin fast erfroren! Die Nachttemperatur lag bei ca. 10 Grad. Dieser Schlafsack gibt &uuml;berhaupt nicht warm, ist h&ouml;chstens ab 20 Grad plus Nachttemperatur zu gebrauchen, also in s&uuml;dlichen, warmen L&auml;ndern! Bin sehr entt&auml;uscht, da der Hersteller andere Angaben macht."
"10","XX","B0012K4XJQ","4.0","0","0","16. Juni 2014","AAJHHXYRZEGLB","Ausprobiert und f&uuml;r gut befunden","Habe den Schlafsack letztes Wochenende ausprobiert. Macht genau was er soll: ein Sommerschlafsack. ich kann nur wiederholen was ich schon in vorherigen Bewertungen gelesen habe: es ist NUR ein Sommerschlafsack, ab Temperaturen unter ca 11 Grad ist er keine Wonne mehr und man muss mit Wolldecken usw nachlegen. Aber so steht er ja beschrieben, also: passt!"
"11","XX","B0012K4XJQ","5.0","0","0","14. Juni 2014","AGVU8VGE1MWQ7","Super Preis Leistungs-Vverh&auml;ltnis","Ordentlich verarbeitet. Nutze den SS zum Schlafen im VW-Bus.  Bei Au&szlig;entemperaturen von 4 Grad vollkommen ausreichend!L&auml;sst sich au&szlig;erordentlich klein packen."
"12","XX","B0012K4XJQ","5.0","0","0","10. Juni 2014","A2ACV4OFOZ1P2A","Very good for its price.","My first schlafsack. I am completely satisfied. Compact size, lightweight, comfortable in usage. Very good for its price. Just good."
