id,nix,product,rating,helpPos,helpAll,date,userId,infoTitle,infoText
"0","XX","B0009PUR90","3.0","0","0","September 11, 2014","A3158BRUFUPPVQ","Useful, but somewhat lacking.","The fan is okay - but I feel like battery life, and possibly airflow, is inferior to what it should be."
"1","XX","B0009PUR90","2.0","0","0","September 11, 2014","A15Q1X6BVPE9N1","Second fan I bought that the fan stopped working after ...","Second fan I bought that the fan stopped working after using a short time. Defect in the motor.RETURNED the second one. Bought the O2 brand. Hopefully it works."
"2","XX","B0009PUR90","4.0","0","0","September 3, 2014","A3MQOXVUP4Y5TL","Life Saver","Love this fan but after you run it for awhile it starts to make a noise&#8230;..with adjustments it clears up and is quiet again&#8230;.that is why I gave it 4 stars&#8230;.otherwise 5 stars!  I run it every night because of Hot Flashes and I just love it&#8230;.works like a total charm&#8230;&#8230;Battery life is good as well&#8230;."
"3","XX","B0009PUR90","5.0","0","0","September 2, 2014","A2O9XY6QO61KNR","I was us it all night and it ran like a champ","used it every night when I was in the navy as a fan in my bed at night.  I was us it all night and it ran like a champ.  the batteries could keep up."
"4","XX","B0009PUR90","1.0","0","0","August 31, 2014","ALDN7JD18C7OR","JUNK -","Really not worthy of the Coleman name.I bought 2 and neither one worked for more than 1 day."
"5","XX","B0009PUR90","1.0","1","1","August 31, 2014","APEO5HGYZ9JQX","it vibrates and rattles so bad that it wont stay put and either falls forward ...","This fan is a piece of junk! It rattles and is noisy. The round part that holds the foam foam blades (Yes..foam blades) is adjustable and is attached by two plastic pins. When the round part of the fan that provides the relief is in motion, it vibrates and rattles so bad that it wont stay put and either falls forward or backward!"
"6","XX","B0009PUR90","1.0","0","0","August 27, 2014","A3RA5U7R93RS0C","One Star","Broke after 2 hours of use.  Changed the batteries twice but the blades won't keep going."
"7","XX","B0009PUR90","5.0","0","0","August 27, 2014","A2NY2OVFDJLJJR","Great compact camp fan!","Great camp fan which runs on 4 D batteries!  We like white noise to sleep and this fan provides that!  Also provides a decent amount of air movement."
"8","XX","B0009PUR90","2.0","0","0","August 27, 2014","A267PEX2TAX6QA","Two Stars","Junk!!!"
"9","XX","B0009PUR90","1.0","0","0","August 26, 2014","A3USQ33E3L430J","Don't order","Don't waste your money!"
"10","XX","B0009PUR90","1.0","0","0","August 30, 2013","AZJVV1N06JBS2","Never worked","I was disappointed that this item arrived broken.  I did not return it as it wasn't worth the time to do so.  I may have just gotten a rotten apple, but it was a bummer."
"11","XX","B0009PUR90","5.0","0","0","August 29, 2013","A2GKY92QEKBPF4","fan good","the fan works well.  it folds and packs well. does not take up much room when packing with rest of equipment"
"12","XX","B0009PUR90","5.0","0","0","August 27, 2013","A1OY3F93TW8DS3","Worked great","I like a fan when I'm sleeping to keep cool and for white noise.  This fan worked great.  The blade  stops easily when touched which is a good safety feature for children."
"13","XX","B0009PUR90","3.0","0","0","August 26, 2013","AV1C1JA9UAI89","Bought two","One of the two fans purchases barely works anymore. Very nice fan otherwise. I am going to try to return the malfunctioning fan."
"14","XX","B0009PUR90","5.0","0","0","August 21, 2013","A1AKMTH8T66MN6","works well!","runs on D batteries, we went camping in the middle of August and it was able to cool down a 6 person tent quickly"
"15","XX","B0009PUR90","4.0","0","0","August 20, 2013","A1BNJPFA1BOARO","good little fan","This is a good little battery operated fan that I used for an art fair inside my booth.  It would also be good for camping.  Not super strong, but very adequate."
"16","XX","B0009PUR90","4.0","0","0","August 20, 2013","A2MB3WDBJA6YL4","Did the trick","Not the highest quality in material, but does it's job of making life in a tent a little cooler. I would have one per person in the tent."
"17","XX","B0009PUR90","5.0","0","0","August 19, 2013","A609QUNI1BIJ8","perfect","Had a chance to try it out. Works great on a warm night in the tent. Very glad I ordered it."
