id,ref,product,rating,helpPos,helpAll,date,userId,infoTitle,infoText
"0","XX","B0050P22VK","5.0","0","0","September 2, 2014","AZ5H5OIKZHCOS","great for family camping","perfect for 2 kids that want their own tent when we camp"
"1","XX","B0050P22VK","1.0","0","0","September 1, 2014","ADOS1OLXX4FWB","Buy it for fake camping only. Not for the real deal.","It was horrible made, the tent was leaking when I went camping. There's no air circulation, due having one opening only. Maybe this is for kids indoor fake camping tent, then yes. I'm just giving it to my two little nephews to play pretend camping."
"2","XX","B0050P22VK","3.0","0","0","September 1, 2014","A1RVIYQSPBKQEL","Happy Camper Might Not Make Everyone Happy.","When it comes to 'you get what you pay for', this tent was exactly that. It was a last minute purchase for my daughter to take camping.  It served its purpose but not sure it will be able to be used again; well possibly once more. If I had spent the extra to get a nicer one, I am sure it would have lasted longer than this one seem it will. This is more on me for not researching the reviews more. I only recommend this if you are looking for something for your grandchildren to play in, or for a 1or 2 time use."
"3","22","B0050P22VK","3.0","0","0","August 31, 2014","A25PSOOSSCAKSW","It's okay","great tent but for one person very very small"
"4","XX","B0050P22VK","5.0","0","0","August 26, 2014","A2QWYRPTDSWK8D","Toke 10-12 to install ( easy ) Room enugh for no more than 2 people ...","Toke 10-12 to install ( easy )Room enugh for no more than 2 people to lay and 3 to set"
"5","XX","B0050P22VK","1.0","1","1","August 23, 2014","A6KD40UKWGPZS","Shame on Me.","Don't purchase. Seriously. I was warned but bought it anyway. I have an almost 3 year old son who wanted to go camping. My husband and I thought it would be a good idea to 'practice' in the backyard first. We didn't even make it that far. Within an hour of me setting it up in the living room, the pole snapped. Needless to say, I had an upset toddler on my hands. My husband 'fixed' it with packing tape and we're 'camping' in the basement. Oh well. You get what you pay for. I thought I would get at least one decent use out of it. Shame on me."
"6","XX","B0050P22VK","2.0","0","0","August 19, 2014","A15QTYGSBQBW7M","Unless you're tiny, this thing is going to feel really tight. (That's what she said!)","This qualifies as maybe a one child tent. As a 6' adult, I had to lay diagonally in the tent, and even then I still had to curl myself slightly to fit inside.Things I really liked:- The tent arrives in a box that says &#34;Happy Tent&#34; and that's it.- There are no instructions, but if you've ever assembled any tent ever, this is easy to do.- It's a tiny tent, so it's easy to put up and take down. You don't even have to roll it, really. Just shove it in a backpack.Things I hated:- There's no UV protection. Like all cheap tents, this one acts like a greenhouse in the middle of the day. My temperature gauge said 85 degrees outside, 105 inside the tent. Yikes!- The little 12&#34;x12&#34; canopy top seems utterly useless. It doesn't fasten to anything so it flies off at the slightest breeze. WTH, guys."
"7","XX","B0050P22VK","3.0","0","0","August 12, 2014","A14Z8OTGR52FZ4","Three Stars","Perfect size for two but the zippers weren't very good."
"8","XX","B0050P22VK","1.0","1","1","August 1, 2014","A3SXD1TZPBK14O","poorly made junk","Poor quality disposable. Used once and it's destroyed. Worst buy on amazon for me so far."
"9","XX","B0050P22VK","1.0","1","1","July 30, 2014","A2NZR3N32G32MX","Broken on arrival","Crap! I bought this for my daughter who asked for a blue tent for her birthday. Received and wrapped it. I should have inspected it before giving to her. One of the poles is broken!!!!!! I grabbed it out of the box and got fiberglass all stuck in my hand and arm. My daughter was so excited when she seen it and then I had to tell her it's broken and we can't put it together. So disappointed!!!!!!"
"10","XX","B0050P22VK","2.0","1","2","August 7, 2012","AI4UUYTPMS1SX","Save your mony","Zippers are most unsatisfactory and did not work.  Tent is now in use by the neighbor kids because they don't need a door."
"11","XX","B0050P22VK","3.0","6","6","July 23, 2012","A989M65MUQ3LB","good, not great","no instructions included, however, we figured it out fairly quickly.  Perfect for a youth headed to a weekend camp.  Don't expect to get many years use out of this one."
"12","XX","B0050P22VK","4.0","11","11","July 1, 2012","A3U4UUO5YXMV8D","a good deal","I bought it about a month ago. till now, I used it just two times and i have to mention that i'm satisfied. for a price like that, it's great and in good quality."
